1_x1	1_x2	1_x3	1_x4	k0_x1	k0_x2	k0_x3	k0_x4	k-1_x1	k-1_x2	k-1_x3	k-1_x4

20	13816	221296	-1	4	12	23	26	3	21	15	23	
5	5	5	5	5	4	5	5	3	5	5	6	
5	5	5	5	5	5	6	9	4	5	5	5	
5	8	17	27	5	5	5	5	5	5	5	6	
29	24472	-1	-1	15	56	54	60	18	54	53	56	
8	105	672	2349	5	6	6	6	5	6	6	6	
10	463	3651	13944	6	8	8	8	6	8	8	12	
5	5	5	5	5	5	5	5	5	5	5	5	
5	5	5	5	5	5	5	5	5	5	5	5	
5	105	1175	5280	5	6	7	7	5	6	7	7	
5	8	12	31	5	5	6	5	5	5	5	5	
5	6	13	18	5	5	6	5	5	5	5	5	
5	5	3	5	5	5	5	5	5	5	5	5	
5	5	3	5	5	5	5	7	5	5	5	6	
9	5864	112033	5	5	35	39	39	6	33	34	37	
6	8	13	27	5	5	5	5	5	6	5	5	
5	12	16	40	5	5	5	5	5	7	6	6	
5	4	4	5	5	6	5	5	5	7	7	5	
5	5	5	6	5	5	6	5	5	5	6	5	
53	11327	141990	734248	10	31	27	32	11	26	31	31	
30	13595	182780	-1	8	28	22	24	8	24	27	26	
39	10646	158330	-1	6	18	20	19	6	18	21	20	
17	342	2113	7328	6	7	7	11	6	7	7	7	
5	9	17	26	5	5	6	5	5	4	5	5	
23	281	1567	5189	6	7	7	10	6	4	6	6	
5	11	27	36	5	5	7	5	5	5	6	5	
5	5	5	7	5	6	7	7	5	5	5	5	
5	6	14	17	5	6	7	9	5	5	6	6	
18	237	1350	4429	6	7	8	7	6	7	7	7	
8	161	1154	4368	6	8	8	4	6	7	7	8	
5	5	4	5	5	5	5	5	5	5	5	6	
5	6	12	16	5	4	5	5	6	5	9	6	
6	16	25	44	5	6	6	12	6	6	5	7	
5	5	4	5	5	6	7	3	5	5	5	5	
7	5	5	5	5	9	5	4	6	5	5	6	
3	5	5	5	5	2	3	7	5	5	4	5	
5	5	5	5	5	2	3	5	5	7	2	5	
6	7	11	18	6	4	3	5	5	2	9	8	
5	9	19	26	5	4	3	6	5	3	4	5	
5	7	14	23	5	5	6	6	5	4	5	7	
7	109	845	3214	6	8	7	7	6	7	7	7	
5	5	4	5	7	2	3	5	5	5	2	5	
5	9	22	27	6	3	3	5	5	3	3	5	
6	5	4	4	5	3	3	5	5	5	3	5	
16	53	138	296	6	7	5	5	5	5	5	5	
5	5	5	5	5	5	5	5	5	5	5	5	
165	38247	451996	-1	15	18	25	25	17	22	24	22	
5	5	4	6	3	4	6	5	5	5	6	9	
47	5430	55529	267972	20	25	19	18	20	22	25	19	
12	4600	72141	414949	7	26	24	18	6	23	20	19	
5	8	17	27	5	5	5	5	6	6	5	5	
5	9	20	26	7	5	5	7	6	6	5	5	
5	5	7	5	6	5	5	4	5	5	5	5	
1881	-1	-1	-1	30	9986	15681	15652	32	9637	14165	14164	
5	2	6	5	5	2	5	5	5	5	5	5	
21	13682	219367	-1	7	12	22	23	7	20	23	20	
5	5	5	5	5	3	5	6	5	5	5	5	
5	8	10	17	5	3	6	6	6	7	7	8	
5	5	5	5	5	3	5	6	5	5	6	5	
5	5	5	5	5	3	5	9	5	5	7	5	
5	6	11	17	5	2	5	6	5	5	6	10	
5	5	5	5	5	2	5	9	5	5	5	5	
5	5	5	7	5	2	5	5	5	5	5	5	
6	87	609	2216	6	3	7	7	6	7	6	7	
5	5	5	5	5	2	5	5	5	5	5	5	
181	4730	27093	90777	6	3	6	6	6	6	6	6	
5	5	5	5	5	2	5	5	5	5	5	5	
5	3	5	5	5	2	5	5	5	5	5	5	
6	6	11	19	5	2	5	5	5	5	6	5	
5	10	14	30	5	2	5	5	5	4	5	6	
82	-1	-1	-1	14	49	62	55	13	48	53	57	
13	160	920	3100	6	3	6	6	6	6	6	6	
5	5	5	5	5	2	5	5	5	5	5	5	
5	8	5	5	5	2	5	5	5	5	5	6	
5	5	5	5	5	2	5	5	5	5	5	6	
5	11	25	34	5	2	6	5	5	5	5	6	
5	5	5	5	5	2	5	6	5	5	5	5	
5	10	19	33	5	2	6	3	5	6	7	6	
5	9	5	5	5	2	5	4	5	5	6	5	
7	10	5	5	5	2	5	5	5	5	6	12	
3	6	9	17	5	2	5	3	5	6	6	6	
4	5	5	5	5	2	9	7	5	5	5	7	
5	5	5	5	5	2	4	5	5	11	4	8	
2363	-1	-1	-1	67	251	263	262	68	247	252	242	
5	6	5	5	5	2	5	5	5	5	5	5	
5	5	5	5	5	2	5	5	5	5	5	9	
85	-1	-1	-1	8	557	585	587	9	511	594	592	
5	5	5	5	5	2	5	5	5	5	5	5	
280	-1	-1	-1	317	1378	1385	1382	339	1270	1266	1256	
7	92	599	2158	6	7	3	7	6	6	6	7	
5	10	16	35	5	6	3	6	5	6	6	6	
5	6	9	11	5	5	3	5	6	5	5	5	
5	6	9	16	5	5	3	5	5	5	6	6	
19	324	1851	6135	6	6	3	6	8	6	6	6	
16	314	2026	7195	6	7	3	7	7	7	7	7	
10	630	6788	32535	9	11	6	12	11	11	11	11	
34	669	3890	13060	6	7	3	9	7	7	7	7	
6	94	640	2380	6	6	3	9	6	6	6	9	
5	8	16	23	5	6	3	5	6	5	5	8	
10	76	370	1151	7	7	3	9	7	7	7	7	
