1	k0	k-1

21 	8 	38 	
6 	6 	7 	
5 	7 	6 	
6 	6 	7 	
28 	17 	20 	
9 	6 	6 	
11 	7 	7 	
6 	6 	6 	
6 	6 	6 	
6 	6 	6 	
5 	6 	6 	
5 	6 	6 	
5 	6 	6 	
6 	6 	6 	
10 	17 	7 	
5 	5 	6 	
7 	7 	7 	
7 	3 	6 	
7 	3 	5 	
53 	8 	11 	
32 	8 	9 	
42 	8 	8 	
20 	8 	7 	
6 	6 	6 	
28 	7 	7 	
7 	6 	8 	
5 	6 	3 	
5 	6 	5 	
14 	7 	7 	
5 	7 	7 	
4 	6 	6 	
5 	7 	6 	
7 	6 	7 	
4 	7 	5 	
4 	7 	6 	
5 	6 	5 	
6 	15 	6 	
4 	5 	7 	
3 	7 	6 	
5 	6 	6 	
7 	8 	8 	
6 	10 	4 	
5 	7 	6 	
6 	4 	6 	
18 	4 	8 	
6 	4 	6 	
168 	11 	18 	
5 	3 	6 	
50 	10 	21 	
18 	8 	7 	
5 	16 	5 	
5 	8 	7 	
6 	8 	5 	
1865 	23 	28 	
5 	5 	6 	
26 	8 	7 	
5 	6 	6 	
6 	4 	7 	
5 	6 	6 	
6 	6 	7 	
6 	10 	6 	
6 	4 	6 	
7 	7 	5 	
7 	13 	7 	
5 	3 	6 	
183 	4 	7 	
5 	3 	7 	
5 	6 	6 	
6 	6 	7 	
6 	6 	6 	
82 	15 	16 	
13 	7 	7 	
6 	6 	6 	
5 	6 	7 	
5 	6 	4 	
8 	6 	3 	
7 	6 	3 	
3 	6 	6 	
4 	6 	5 	
3 	7 	5 	
5 	9 	7 	
5 	6 	8 	
6 	5 	6 	
2289 	73 	66 	
5 	5 	6 	
5 	6 	7 	
87 	9 	9 	
5 	6 	6 	
281 	315 	344 	
7 	6 	6 	
6 	5 	6 	
3 	5 	7 	
3 	7 	6 	
12 	7 	7 	
14 	7 	8 	
11 	10 	10 	
33 	7 	6 	
8 	7 	5 	
6 	6 	4 	
11 	7 	5 	
9 	8 	7 	
6 	6 	6 	
5 	6 	6 	
5 	6 	6 	
6 	6 	6 	
20 	8 	9 	
6 	6 	7 	
6 	6 	5 	
3033 	42 	39 	
6 	6 	6 	
6 	5 	6 	
517 	28 	28 	
5 	6 	6 	
6 	6 	6 	
5 	7 	6 	
430 	34 	43 	
6 	5 	5 	
253 	35 	37 	
7 	7 	6 	
41 	16 	17 	
10 	8 	7 	
5 	6 	6 	
6 	3 	6 	
22 	4 	6 	
5 	4 	7 	
9 	6 	8 	
26 	13 	15 	
6166 	22 	19 	
8 	9 	7 	
5 	6 	6 	
6 	6 	7 	
2230 	19 	18 	
6 	6 	7 	
7 	6 	7 	
11 	7 	5 	
6 	6 	4 	
698 	17 	11 	
6 	6 	3 	
5 	6 	4 	
6 	5 	4 	
7 	6 	4 	
7 	7 	8 	
3 	5 	6 	
4 	7 	6 	
4 	5 	6 	
29 	14 	14 	
5 	6 	6 	
6 	6 	8 	
6 	7 	7 	
5 	7 	7 	
6 	7 	7 	
5 	6 	8 	
176 	14 	14 	
6 	7 	8 	
5 	6 	8 	
6 	3 	6 	
7 	4 	7 	
5 	4 	7 	
6 	6 	8 	
55 	6 	6 	
6 	7 	7 	
6 	4 	6 	
9 	8 	11 	
37 	6 	8 	
5 	6 	7 	
6 	10 	12 	
101 	5 	6 	
5 	6 	6 	
5 	7 	7 	
6 	6 	6 	
5 	17 	18 	
3138 	5 	5 	
4 	9 	4 	
5 	6 	4 	
5 	7 	6 	
25 	6 	9 	
6 	3 	6 	
6 	4 	3 	
5 	75 	82 	
730 	10 	10 	
13 	6 	6 	
3 	6 	6 	
3 	8 	5 	
3 	6 	6 	
2 	6 	6 	
3 	8 	8 	
13 	6 	6 	
3 	6 	7 	
3 	9 	10 	
