1	k0	k-1

18 	14 	5 	
4 	4 	7 	
5 	4 	5 	
3 	4 	7 	
3 	16 	18 	
298 	4 	7 	
7 	7 	7 	
11 	12 	12 	
158 	7 	7 	
7 	6 	6 	
4 	6 	5 	
6 	7 	7 	
12 	6 	5 	
5 	6 	5 	
5 	6 	5 	
5 	7 	7 	
7 	6 	6 	
6 	7 	4 	
10 	6 	3 	
6 	7 	6 	
6 	30 	28 	
128 	4 	5 	
5 	7 	5 	
8 	6 	6 	
6 	8 	6 	
6 	7 	6 	
6 	9 	10 	
44 	7 	6 	
6 	24 	26 	
3762 	6 	6 	
5 	6 	6 	
7 	7 	7 	
10 	22 	17 	
211 	6 	5 	
6 	4 	7 	
7 	4 	6 	
6 	4 	6 	
6 	6 	7 	
5 	6 	6 	
5 	9 	8 	
14 	6 	6 	
3 	7 	7 	
4 	7 	6 	
5 	7 	7 	
6 	232 	200 	
6 	9 	3 	
42 	8 	6 	
10 	4 	6 	
6 	5 	7 	
5 	6 	6 	
6 	7 	12 	
6 	7 	5 	
6 	6 	6 	
13 	5 	7 	
11 	4 	7 	
82 	7 	13 	
17 	6 	7 	
4 	6 	6 	
37 	9 	8 	
15 	7 	8 	
6 	6 	6 	
5 	7 	6 	
10 	12 	10 	
9 	5 	7 	
4 	4 	6 	
3 	4 	5 	
3 	7 	7 	
6 	6 	6 	
25 	7 	7 	
57 	15 	16 	
5 	6 	6 	
7 	6 	6 	
7 	6 	6 	
9 	7 	7 	
5 	7 	6 	
5 	6 	6 	
6 	6 	7 	
6 	7 	6 	
5 	4 	11 	
1468 	40 	38 	
5 	5 	3 	
94 	10 	14 	
5 	4 	6 	
4 	10 	6 	
9 	8 	4 	
96 	10 	9 	
5 	6 	6 	
9302 	1350 	1317 	
13 	6 	5 	
11 	7 	4 	
6 	6 	5 	
5 	5 	6 	
5 	4 	5 	
242 	15 	16 	
3 	6 	6 	
7 	6 	6 	
6 	5 	5 	
6 	6 	5 	
6 	6 	6 	
6 	6 	6 	
5 	6 	5 	
6 	5 	5 	
6 	6 	6 	
5 	6 	15 	
10 	6 	4 	
25 	11 	7 	
1687 	15 	12 	
